"fecha"	"cnt"
"2011-02-03"	"23"
"2011-02-04"	"24"
"2011-02-05"	"30"
"2011-02-06"	"26"
"2011-02-07"	"28"
"2011-02-08"	"27"
"2011-02-09"	"23"
"2011-02-10"	"23"
"2011-02-11"	"23"
"2011-02-12"	"30"
"2011-02-13"	"29"
"2011-02-14"	"29"
"2011-02-15"	"17"
"2011-02-16"	"20"
"2011-02-17"	"23"
"2011-02-18"	"24"
"2011-02-19"	"26"
"2011-02-20"	"22"
"2011-02-21"	"26"
"2011-02-22"	"30"
"2011-02-23"	"21"
"2011-02-24"	"15"
"2011-02-25"	"23"
"2011-02-26"	"23"
"2011-02-27"	"22"
"2011-02-28"	"26"
"2011-03-01"	"49"
"2011-03-02"	"28"
"2011-03-03"	"18"
"2011-03-04"	"23"
"2011-03-05"	"21"
"2011-03-06"	"35"
"2011-03-07"	"21"
"2011-03-08"	"28"
"2011-03-09"	"28"
"2011-03-10"	"24"
"2011-03-11"	"33"
"2011-03-12"	"28"
"2011-03-13"	"26"
"2011-03-14"	"27"
"2011-03-15"	"31"
"2011-03-16"	"25"
"2011-03-17"	"23"
"2011-03-18"	"22"
"2011-03-19"	"25"
"2011-03-20"	"31"
"2011-03-21"	"18"
"2011-03-22"	"24"
"2011-03-23"	"24"
"2011-03-24"	"27"
"2011-03-25"	"25"
"2011-03-26"	"25"
"2011-03-27"	"21"
"2011-03-28"	"22"
"2011-03-29"	"35"
"2011-03-30"	"14"
"2011-03-31"	"18"
"2011-04-01"	"37"
"2011-04-02"	"20"
"2011-04-03"	"24"
"2011-04-04"	"31"
"2011-04-05"	"21"
"2011-04-06"	"28"
"2011-04-07"	"20"
"2011-04-08"	"30"
"2011-04-09"	"25"
"2011-04-10"	"27"
"2011-04-11"	"32"
"2011-04-12"	"26"
"2011-04-13"	"24"
"2011-04-14"	"20"
"2011-04-15"	"30"
"2011-04-16"	"26"
"2011-04-17"	"40"
"2011-04-18"	"16"
"2011-04-19"	"18"
"2011-04-20"	"19"
"2011-04-21"	"15"
"2011-04-22"	"14"
"2011-04-23"	"22"
"2011-04-24"	"16"
"2011-04-25"	"22"
"2011-04-26"	"23"
"2011-04-27"	"14"
"2011-04-28"	"18"
"2011-04-29"	"23"
"2011-04-30"	"19"
"2011-05-01"	"39"
"2011-05-02"	"24"
"2011-05-03"	"26"
"2011-05-04"	"21"
"2011-05-05"	"33"
"2011-05-06"	"30"
"2011-05-07"	"46"
"2011-05-08"	"34"
"2011-05-09"	"24"
"2011-05-10"	"25"
"2011-05-11"	"24"
"2011-05-12"	"19"
"2011-05-13"	"21"
"2011-05-14"	"24"
"2011-05-15"	"34"
"2011-05-16"	"29"
"2011-05-17"	"40"
"2011-05-18"	"26"
"2011-05-19"	"19"
"2011-05-20"	"21"
"2011-05-21"	"25"
"2011-05-22"	"24"
"2011-05-23"	"23"
"2011-05-24"	"19"
"2011-05-25"	"28"
"2011-05-26"	"19"
"2011-05-27"	"17"
"2011-05-28"	"19"
"2011-05-29"	"23"
"2011-05-30"	"30"
"2011-05-31"	"27"
"2011-06-01"	"56"
"2011-06-02"	"25"
"2011-06-03"	"23"
"2011-06-04"	"15"
"2011-06-05"	"26"
"2011-06-06"	"21"
"2011-06-07"	"16"
"2011-06-08"	"27"
"2011-06-09"	"20"
"2011-06-10"	"21"
"2011-06-11"	"22"
"2011-06-12"	"26"
"2011-06-13"	"25"
"2011-06-14"	"19"
"2011-06-15"	"32"
"2011-06-16"	"17"
"2011-06-17"	"26"
"2011-06-18"	"20"
"2011-06-19"	"25"
"2011-06-20"	"26"
"2011-06-21"	"23"
"2011-06-22"	"17"
"2011-06-23"	"23"
"2011-06-24"	"33"
"2011-06-25"	"12"
"2011-06-26"	"16"
"2011-06-27"	"19"
"2011-06-28"	"17"
"2011-06-29"	"11"
"2011-06-30"	"8"
"2011-07-01"	"42"
"2011-07-02"	"19"
"2011-07-03"	"23"
"2011-07-04"	"12"
"2011-07-05"	"27"
"2011-07-06"	"24"
"2011-07-07"	"16"
"2011-07-08"	"21"
"2011-07-09"	"19"
"2011-07-10"	"18"
"2011-07-11"	"29"
"2011-07-12"	"13"
"2011-07-13"	"19"
"2011-07-14"	"10"
"2011-07-15"	"28"
"2011-07-16"	"23"
"2011-07-17"	"27"
"2011-07-18"	"31"
"2011-07-19"	"24"
"2011-07-20"	"13"
"2011-07-21"	"31"
"2011-07-22"	"25"
"2011-07-23"	"24"
"2011-07-24"	"24"
"2011-07-25"	"28"
"2011-07-26"	"13"
"2011-07-27"	"20"
"2011-07-28"	"13"
"2011-07-29"	"23"
"2011-07-30"	"18"
"2011-07-31"	"13"
"2011-08-01"	"35"
"2011-08-02"	"19"
"2011-08-03"	"23"
"2011-08-04"	"13"
"2011-08-05"	"22"
"2011-08-06"	"29"
"2011-08-07"	"19"
"2011-08-08"	"19"
"2011-08-09"	"23"
"2011-08-10"	"15"
"2011-08-11"	"20"
"2011-08-12"	"24"
"2011-08-13"	"21"
"2011-08-14"	"22"
"2011-08-15"	"26"
"2011-08-16"	"25"
"2011-08-17"	"20"
"2011-08-18"	"30"
"2011-08-19"	"24"
"2011-08-20"	"31"
"2011-08-21"	"20"
"2011-08-22"	"26"
"2011-08-23"	"22"
"2011-08-24"	"22"
"2011-08-25"	"25"
"2011-08-26"	"17"
"2011-08-27"	"27"
"2011-08-28"	"27"
"2011-08-29"	"31"
"2011-08-30"	"27"
"2011-08-31"	"32"
"2011-09-01"	"32"
"2011-09-02"	"21"
"2011-09-03"	"21"
"2011-09-04"	"19"
"2011-09-05"	"34"
"2011-09-06"	"22"
"2011-09-07"	"16"
"2011-09-08"	"29"
"2011-09-09"	"20"
"2011-09-10"	"29"
"2011-09-11"	"27"
"2011-09-12"	"33"
"2011-09-13"	"33"
"2011-09-14"	"27"
"2011-09-15"	"23"
"2011-09-16"	"25"
"2011-09-17"	"23"
"2011-09-18"	"29"
"2011-09-19"	"24"
"2011-09-20"	"33"
"2011-09-21"	"20"
"2011-09-22"	"24"
"2011-09-23"	"20"
"2011-09-24"	"22"
"2011-09-25"	"26"
"2011-09-26"	"25"
"2011-09-27"	"17"
"2011-09-28"	"24"
"2011-09-29"	"19"
"2011-09-30"	"14"
"2011-10-01"	"34"
"2011-10-02"	"18"
"2011-10-03"	"21"
"2011-10-04"	"15"
"2011-10-05"	"25"
"2011-10-06"	"15"
"2011-10-07"	"25"
"2011-10-08"	"15"
"2011-10-09"	"19"
"2011-10-10"	"30"
"2011-10-11"	"18"
"2011-10-12"	"23"
"2011-10-13"	"7"
"2011-10-14"	"23"
"2011-10-15"	"27"
"2011-10-16"	"26"
"2011-10-17"	"10"
"2011-10-18"	"17"
"2011-10-19"	"11"
"2011-10-20"	"26"
"2011-10-21"	"24"
"2011-10-22"	"18"
"2011-10-23"	"36"
"2011-10-24"	"23"
"2011-10-25"	"16"
"2011-10-26"	"25"
"2011-10-27"	"26"
"2011-10-28"	"28"
"2011-10-29"	"18"
"2011-10-30"	"15"
"2011-10-31"	"16"
"2011-11-01"	"26"
"2011-11-02"	"11"
"2011-11-03"	"11"
"2011-11-04"	"22"
"2011-11-05"	"23"
"2011-11-06"	"23"
"2011-11-07"	"15"
"2011-11-08"	"21"
"2011-11-09"	"20"
"2011-11-10"	"9"
"2011-11-11"	"25"
"2011-11-12"	"11"
"2011-11-13"	"22"
"2011-11-14"	"13"
"2011-11-15"	"27"
"2011-11-16"	"21"
"2011-11-17"	"10"
"2011-11-18"	"9"
"2011-11-19"	"14"
"2011-11-20"	"23"
"2011-11-21"	"15"
"2011-11-22"	"20"
"2011-11-23"	"9"
"2011-11-24"	"17"
"2011-11-25"	"19"
"2011-11-26"	"16"
"2011-11-27"	"9"
"2011-11-28"	"8"
"2011-11-29"	"13"
"2011-11-30"	"10"
"2011-12-01"	"13"
"2011-12-02"	"8"
"2011-12-03"	"7"
"2011-12-04"	"26"
"2011-12-05"	"16"
"2011-12-06"	"11"
"2011-12-07"	"13"
"2011-12-08"	"9"
"2011-12-09"	"9"
"2011-12-10"	"8"
"2011-12-11"	"14"
"2011-12-12"	"19"
"2011-12-13"	"12"
"2011-12-14"	"11"
"2011-12-15"	"20"
"2011-12-16"	"8"
"2011-12-17"	"10"
"2011-12-18"	"17"
"2011-12-19"	"18"
"2011-12-20"	"10"
"2011-12-21"	"8"
"2011-12-22"	"8"
"2011-12-23"	"10"
"2011-12-24"	"9"
"2011-12-25"	"27"
"2011-12-26"	"10"
"2011-12-27"	"11"
"2011-12-28"	"11"
"2011-12-29"	"2"
"2011-12-30"	"3"
"2011-12-31"	"8"
"2012-01-01"	"188"
"2012-01-02"	"45"
"2012-01-03"	"27"
"2012-01-04"	"29"
